input_text,target_text,category
paraphrase: para peneliti memperkirakan tambahan 23 kasus demensia per tahun untuk setiap 10.000 wanita dalam terapi.,ini merupakan tambahan 23 kasus demensia per tahun di setiap 10.000 wanita yang dirawat.,creative
"paraphrase: sebelumnya, dia memberi tahu prancis antar-radio, ""saya pikir kita sekarang dapat memenuhi syarat apa yang terjadi sebagai epidemi asli.""","""saya pikir kita sekarang dapat memenuhi syarat apa yang terjadi sebagai epidemi asli,"" kata menteri kesehatan jean-francois mattei di prancis inter radio.",creative
"paraphrase: presiden vlad imir putin melemparkan bobotnya di belakang partai politik pro-kremlin utama rusia untuk pertama kalinya pekan lalu, menjelang pemilihan parlemen.",presiden vladimir putin melemparkan berat badannya untuk pertama kalinya pada hari sabtu di belakang partai politik pro-kremlin utama rusia menjelang pemilihan parlemen.,balanced
paraphrase: dia mengatakan distrik itu telah menunggu panggilan pengadilan dan selalu berencana untuk mematuhinya begitu menerimanya.,mr. caramore mengatakan distrik itu menunggu panggilan pengadilan dan berencana untuk bekerja sama dengan penyelidikan.,creative
"paraphrase: bab terakhir dalam trilogi, revolusi matriks, keluar pada bulan november.","film ketiga dan terakhir, ""the matrix revolutions,"" akan dirilis pada bulan november.",creative
"paraphrase: saham bp tergelincir 0,8 persen menjadi 433,50 pence ( 6,85) masing -masing dalam perdagangan sore di london stock exchange.","saham bp turun 48 sen menjadi 41,72 jumat dalam perdagangan di new york stock exchange.",creative
"paraphrase: persidangan, yang menampilkan 125 saksi, dapat berlanjut hingga awal tahun 2004.","persidangan, yang bisa bertahan hingga awal 2004, diharapkan untuk mendengar yang pertama dari 125 saksi jumat.",creative
"paraphrase: ""bagi saya, imbroglio lewinsky tampak seperti skandal ganas lainnya yang diproduksi oleh lawan politik,"" menurut ekstrak yang dirilis kemarin.","""bagi saya, imbroglio lewinsky tampak seperti skandal ganas lainnya yang diproduksi oleh lawan politik,"" tulis nyonya clinton.",balanced
"paraphrase: dalam perdagangan di new york stock exchange, saham kraft turun 25 sen menjadi ditutup pada 32,30.","saham kraft turun 25 sen menjadi ditutup pada 32,30 kemarin di new york stock exchange.",safe
"paraphrase: secara signifikan, itu tidak menyebutkan peran organisasi teroris jemah islamiyah, yang dituduh berada di belakang serangan itu.","alamat itu tidak menyebutkan peran organisasi teroris jemaah islamiyah, yang berada di balik serangan itu.",balanced
paraphrase: korban kematian global mendekati 770 dengan lebih dari 8.300 orang sakit sejak virus sars pertama kali muncul di cina selatan pada bulan november.,korban tewas global adalah 770 dengan lebih dari 8300 orang sakit sejak virus sindrom pernapasan akut parah pertama kali muncul di cina selatan pada bulan november.,balanced
"paraphrase: tetapi tn. peterson menambahkan, ""saya tidak kenal siapa pun di komite konferensi yang berjuang untuk menjauhkannya sepenuhnya.""","tapi peterson menambahkan, saya tidak kenal siapa pun di komite konferensi yang berjuang untuk menjauhkannya sepenuhnya.",safe
"paraphrase: seperti yang dibayangkan oleh breaux, pemerintah akan membantu membayar 3.450 pertama dalam biaya obat resep.",breaux menguraikan rencana selasa yang akan memberikan bantuan senior dengan biaya obat resep 3.450 pertama.,creative
"paraphrase: adrian lamo, 22, mengatakan kepada wartawan bahwa ia berencana untuk menyerah kepada fbi di sacramento jumat, tetapi ia kemudian memiliki pikiran kedua.","lamo mengatakan kepada wartawan bahwa dia akan menyerah kepada fbi di tangga gedung pengadilan federal di sacramento pada hari jumat, tetapi dia tidak muncul.",creative
"paraphrase: ""saya pikir itu terjadi dengan sangat cepat,"" kata penyelidik pembunuhan departemen kepolisian houston phil yochum tentang kejahatan itu.","""saya pikir itu terjadi dengan sangat cepat,"" kata penyelidik phil yochum dari divisi pembunuhan departemen kepolisian houston.",safe
paraphrase: keuskupan mencapai pemukiman pada tahun 2001 yang melibatkan lima imam dan 26 penggugat dengan jumlah yang dirahasiakan.,"pada tahun 2001, keuskupan mencapai penyelesaian 15 juta yang melibatkan lima imam dan 26 penggugat.",balanced
paraphrase: suaminya yang berusia 92 tahun sekarang sangat lemah oleh penyakit alzheimer.,mantan presiden berusia 92 tahun itu menderita penyakit alzheimer.,creative
"paraphrase: kerr, yang memenangkan tiga kejuaraan dengan chicago bulls di tahun 90 -an dan satu dengan spurs pada tahun 1999, selesai dengan 12 poin, 3 assist dan 2 rebound.","kerr, yang memenangkan tiga gelar nba dengan chicago dan satu dengan spurs pada tahun 1999, selesai dengan 12 poin, tiga assist dan dua rebound.",balanced
"paraphrase: peterson, 27, hamil delapan bulan ketika dia menghilang pada hari -hari sebelum natal.",peterson hampir hamil delapan bulan ketika dia dilaporkan hilang.,creative
paraphrase: para peneliti di imperial college london sebelumnya menunjukkan bahwa hormon dapat menekan nafsu makan orang -orang ramping.,"bloom dan rekan-rekannya sebelumnya menunjukkan bahwa hormon, pyy3-36, dapat mengekang nafsu makan orang-orang ramping.",creative
paraphrase: dewan sedang menyelidiki apakah kekurangan dana dalam program antar -jemput mengganggu keselamatan.,dewan sedang menyelidiki apakah keamanan yang dikompromikan ini pada pesawat ulang -alik.,creative
"paraphrase: namun, mauresmo memiliki kepercayaan diri karena telah mengalahkan serena untuk pertama kalinya dan juga didukung oleh kekalahan kekalahan venus williams pada hari minggu untuk vera zvonareva.",dia memiliki kepercayaan diri karena telah mengalahkannya untuk pertama kalinya dan dia didukung oleh kekalahan kekalahan venus williams dua hari yang lalu.,creative
paraphrase: amrozi mengatakan orang yahudi dan as dan sekutunya memiliki rencana jahat untuk menjajah negara -negara seperti indonesia.,"orang yahudi, amerika dan sekutu mereka memiliki rencana ""jahat"" untuk menjajah negara -negara seperti indonesia, kata amrozi.",balanced
"paraphrase: ""kami memulai epidemi dengan lebih banyak kasus dan lebih banyak area yang terpengaruh daripada tahun lalu.","""ini menunjukkan kami memulai epidemi dengan lebih banyak kasus daripada tahun lalu,"" kata gerberding.",creative
"paraphrase: setelah 26 jam operasi dan satu tahun antisipasi, anak laki -laki dipisahkan pada hari minggu di pusat medis anak -anak dallas.","anak laki-laki kembar mesir berusia dua tahun, lahir dengan kepala mereka disatukan, telah dipisahkan setelah 26 jam operasi di pusat medis anak-anak di dallas.",creative
"paraphrase: berita itu muncul setelah pemilik amerika drax, aes corp. aes.n, minggu lalu berjalan menjauh dari pabrik setelah bank dan pemegang obligasi menolak untuk menerima tawaran restrukturisasi.","pekan lalu pemilik amerika, aes corp, berjalan menjauh dari pabrik setelah bank dan pemegang obligasi menolak untuk menerima tawaran restrukturisasi keuangannya.",balanced
"paraphrase: nilainya akan berjumlah sekitar 124 juta, termasuk sekuritas konversi, menurut corel.","termasuk sekuritas yang dapat dikonversi, total estimasi nilai kesepakatan adalah 124 juta, menurut corel.",creative
paraphrase: the cradle of liberty council bukan yang pertama yang melawan sikap kelompok nasional.,dewan philadelphia bukan yang pertama menentang kebijakan nasional.,creative
paraphrase: lebih dari 60 persen dari 1.000 karyawan perusahaan tewas dalam serangan itu.,lebih dari 60 persen dari 1.000 karyawannya pada saat itu terbunuh.,creative
paraphrase: perbedaan pendapatnya bergabung dengan ketua hakim william h. rehnquist dan hakim clarence thomas.,ketua hakim william h. rehnquist dan hakim agung antonin scalia dan clarence thomas tidak setuju.,creative
"paraphrase: namun, jaksa penuntut menolak untuk mengambil tindakan kriminal terhadap penjaga, meskipun fine mengatakan penyelidikannya belum selesai.","jaksa penuntut menolak untuk mengambil tindakan kriminal terhadap petugas koreksi, meskipun fine mengatakan penyelidikannya belum selesai.",balanced
"paraphrase: tom kraynak, manajer operasi dan sumber daya untuk dewan keandalan area tengah timur yang berbasis di ohio, mengatakan bahwa skenario adalah salah satu di antara banyak yang dipertimbangkan oleh penyelidik.","tom kraynak, manajer operasi dan sumber daya untuk dewan keandalan area tengah timur yang berbasis di ohio, mengatakan para penyelidik sedang mempertimbangkan skenario tersebut.",balanced
"paraphrase: memo tentang melindungi penjualan windows dan perangkat lunak desktop lainnya yang disebutkan linux, pesaing perangkat lunak yang masih kecil namun muncul yang tidak dimiliki oleh perusahaan tertentu.","memo tersebut secara khusus menyebutkan linux, pesaing perangkat lunak yang masih kecil namun muncul yang tidak dimiliki oleh perusahaan tertentu.",creative
"paraphrase: hernandez telah dirawat karena kanker payudara, dan moore menderita limfoma non-hodgkin.",hernandez menderita kanker payudara dan moore sedang dirawat karena limfoma non-hodgkins.,balanced
"paraphrase: perdana menteri tiongkok, rusia dan empat negara asia tengah telah bertemu di beijing dan menyetujui anggaran untuk pengelompokan keamanan regional mereka.","perdana menteri tiongkok, rusia dan empat negara asia tengah menandatangani perjanjian pada hari selasa yang menetapkan rencana untuk pusat anti-terorisme regional yang telah lama ditunggu-tunggu di uzbekistan.",creative
"paraphrase: imigran muslim telah menggunakan jaringan - yang mengandalkan transfer kawat, kurir dan surat semalam - untuk mengirim uang tunai ke keluarga mereka ke luar negeri.","imigran muslim telah menggunakan jaringan _ yang mengandalkan transfer kawat, kurir dan surat semalam _ untuk mengirim simpanan uang tunai ke luar negeri ke keluarga mereka.",safe
"paraphrase: cruz datang ke amerika serikat pada tahun 1960, setahun setelah revolusi kuba.","cruz datang ke amerika serikat pada tahun 1960, setahun setelah fidel castro menggulingkan kediktatoran dan memasang pemerintahan komunis.",creative
"paraphrase: ""ini absurd,"" kata pelatih funny cide barclay tagg.","sementara itu, pelatih cide yang lucu, barclay tagg, menyebut tuduhan itu ""konyol.""",creative
"paraphrase: jika ada bukti yang cukup di akhir dari apa yang diharapkan menjadi sidang lima hari, peterson akan diadili atas tuduhan tersebut.","jika hakim memutuskan itu pada akhir dari apa yang diharapkan menjadi sidang lima hari, peterson akan diadili atas tuduhan tersebut.",balanced
"paraphrase: ""tidak peduli siapa yang menjadi sponsor untuk seri teratas balap mobil stok, nascar akan membutuhkan acara all-star,"" kata wheeler dalam sebuah pernyataan.","tidak peduli siapa yang menjadi sponsor untuk seri teratas balap mobil, nascar akan membutuhkan acara all-star, kata wheeler selasa.",balanced
paraphrase: orang yang memiliki gangguan ini menyerap zat besi dalam jumlah berlebihan yang dapat menyebabkan kerusakan organ.,haemochromatosis adalah kelainan di mana orang menyerap zat besi dalam jumlah berlebihan yang dapat menyebabkan kerusakan organ.,balanced
"paraphrase: seorang juru bicara commerce mengeluarkan pernyataan singkat jumat malam, mencatat bahwa gugus tugas ""mengevaluasi wilayah dunia yang sangat penting untuk pasokan energi global.""","""gugus tugas energi mengevaluasi wilayah dunia yang sangat penting untuk pasokan energi global,"" kata pernyataan itu.",creative
"paraphrase: pengacara pembela berusaha untuk melakukan tuduhan itu, mengklaim pengadilan bali tidak memiliki yurisdiksi atas kejahatan itu.","pengacara pembela berusaha agar tuduhan itu dikeluarkan, mengklaim pengadilan pengadilan bali. kasus samudra tidak memiliki yurisdiksi atas kejahatan itu.",balanced
paraphrase: pasar tetap disematkan dalam kisaran sempit setelah rapat umum yang kuat mendorong indeks 500 yang luas miskin .spx naik lebih dari 20 persen sejak pertengahan maret.,pasar tetap disematkan dalam kisaran sempit setelah reli yang kuat mendorong indeks s p 500 yang luas naik lebih dari 20 persen sejak pertengahan maret.,balanced
"paraphrase: pasukan as menemukan tembakan dari granat, mortir, dan lengan kecil roket yang berasal dari bunker dan bangunan.","pasukan a.s. menemukan tembakan dari granat roket yang didorong, mortir dan lengan kecil yang berasal dari bunker serta di dalam dan di atas bangunan di sekitarnya.",balanced
"paraphrase: yehuda abraham, seorang perhiasan berusia 76 tahun di distrik berlian new york, diduga menerima uang muka 30.000 atas nama lakhani untuk rudal, kata pemerintah.","yehuda abraham, seorang perhiasan berusia 76 tahun dari distrik diamond new york, menerima uang muka 30.000 atas nama lakhani untuk rudal pertama, kata para penyelidik.",balanced
paraphrase: atlantic coast akan melanjutkan operasinya sebagai pembawa delta connections.,"ini akan melanjutkan layanan regionalnya untuk delta air lines dal.n, kata atlantic coast.",creative
paraphrase: kurang dari selusin agen fbi dikirim untuk mengamankan dan menganalisis bukti.,kurang dari selusin agen fbi akan dikirim ke irak untuk mengamankan dan menganalisis bukti pemboman.,balanced
paraphrase: tidak ada pil yang diharapkan untuk menggantikan penyumbat telinga dan perlindungan telinga mekanik lainnya.,tidak ada yang mengatakan pil seperti itu bisa menggantikan penyumbat telinga dan perlindungan telinga mekanik lainnya.,balanced
"paraphrase: pengacara peterson, mark geragos dari los angeles, dengan cepat menggesek prosedur pengujian.","pengacara peterson, mark geragos, dari los angeles, telah memperebutkan bukti dna, dengan mengatakan itu tidak dapat diandalkan.",creative
"paraphrase: bush juga berharap untuk memoles kredensial anti-aids-nya di uganda, yang telah dipuji sebagai pelopor afrika dalam memerangi penyakit pembunuh.",presiden bush terbang ke uganda jumat berharap untuk memoles kredensial anti-aids di negara yang dipuji sebagai pelopor afrika dalam memerangi epidemi.,creative
paraphrase: ia juga mengatakan mereka mengharapkan pengaduan sipil oleh komisi sekuritas dan bursa.,stewart juga menghadapi penyelidikan terpisah oleh komisi sekuritas dan bursa.,creative
paraphrase: imclone systems inc. dan genentech inc. memimpin saham perusahaan bioteknologi as lebih tinggi setelah obat -obatan yang mereka kembangkan membantu pasien kanker dalam penelitian.,imclone systems dan genentech memimpin saham perusahaan bioteknologi yang lebih tinggi kemarin setelah penelitian menunjukkan obat -obatan yang mereka kembangkan membantu pasien kanker.,safe
"paraphrase: miss novikova mengatakan sementara tidak ada bobot standar untuk balerina, miss volochkova lebih besar dari yang lain .","mengomentari penembakan hari ini, ms. novikova mengatakan bahwa tidak ada bobot standar untuk balerina tetapi ms. volochkova ""lebih besar dari yang lain.""",balanced
"paraphrase: disney telah berulang kali mengatakan ""keselamatan dan kenikmatan"" dari para tamunya adalah alasan perusahaan menginginkan zona larangan terbang, dan ingin mereka dipelihara.","juru bicara disney rena callahan mengatakan ""keselamatan dan kenikmatan"" para tamu adalah satu-satunya alasan perusahaan menginginkan zona larangan terbang, dan ingin mereka tetap di tempat.",creative
"paraphrase: dalam bentrokan dengan polisi, letnan mothana ali mengatakan sekitar 1.000 demonstran telah pergi ke stasiun yang menuntut pekerjaan.","di baghdad, letnan polisi. mothana ali mengatakan sekitar 1.000 demonstran tiba di stasiun yang menuntut pekerjaan.",balanced
"paraphrase: ""risiko inflasi menjadi rendah yang tidak diinginkan tetap menjadi perhatian utama untuk masa mendatang,"" kata the fed dalam sebuah pernyataan yang menyertai keputusan dengan suara bulat.","""risiko inflasi menjadi rendah yang tidak diinginkan tetap menjadi perhatian utama untuk masa mendatang,"" kata komite pasar terbuka federal yang menetapkan kebijakan.",creative
"paraphrase: ""aku tidak pernah meraih siapa pun dan kemudian menarik baju mereka dan meraih payudara mereka, dan hal -hal seperti itu.",bahwa saya menarik baju mereka dan meraih payudara dan hal -hal seperti itu: ini bukan saya.,creative
paraphrase: lebih dari 100 petugas meluncurkan penggerebekan pada fase akhir operasi dua tahun yang menyelidiki impor kokain dan cincin pencucian uang.,lebih dari 100 petugas polisi terlibat dalam patung yang merupakan puncak dari operasi dua tahun yang menyelidiki geng impor dan pencucian uang kokain.,creative
"paraphrase: tetapi jumlah itu mungkin tidak mungkin untuk lulus di senat, di mana moderat partai republik menolak untuk melampaui 350 miliar.","jumlah seperti itu mungkin tidak dapat memanggil mayoritas senat, di mana moderat partai republik menolak untuk melampaui 350 miliar.",balanced
"paraphrase: duta besar mengatakan terserah kepada amerika untuk menekan irak untuk melakukan undangan, yang menurutnya amerika serikat tampaknya tidak mau melakukannya.",duta besar mengatakan terserah kepada orang amerika untuk menekan dewan irak untuk membuat undangan - sebuah langkah yang menurutnya amerika serikat tampaknya tidak mau dilakukan.,balanced
"paraphrase: juga, upaya rumah sakit untuk memulai ""klinik demam"" di tenda tempat parkir untuk menjaga pasien menular keluar dari ruang gawat darurat ""bergerak dengan mengesankan,"" kata dr. roth.","dr. roth juga mengatakan bahwa upaya rumah sakit untuk memulai ""klinik demam"" di tenda parkir untuk membuat pasien menular keluar dari ruang gawat darurat ""bergerak bersama mengesankan.""",balanced
paraphrase: ini hanya gerakan terbaru dalam tren berkelanjutan menuju dukungan open source dari aplikasi bisnis.,ini hanya gerakan terbaru dalam tren berkelanjutan menuju dukungan open-source di antara vendor aplikasi bisnis.,balanced
"paraphrase: dividen, yang kedua perusahaan ini tahun kalender ini, dibayarkan pada 7 november kepada pemegang saham catatan pada penutupan bisnis 17 oktober.","dalam sebuah pernyataan, microsoft mengatakan dividen dibayarkan 7 november kepada pemegang saham catatan pada 17 oktober.",creative
"paraphrase: moore diperkirakan akan dikeluarkan dari rumah sakit kamis atau jumat, menurut jackie green, juru bicara agen pers pertunjukan.","bintang inggris itu diperkirakan akan segera dikeluarkan dari rumah sakit, kata jackie green, juru bicara agen pers pertunjukan.",creative
paraphrase: tidak ada vaksin rabies yang tersedia untuk manusia di zimbabwe dan jika itu terlalu mahal untuk sebagian besar digigit oleh anjing yang terinfeksi.,"profesional kesehatan mengatakan tidak ada vaksin rabies untuk manusia di zimbabwe dan, bahkan jika itu tersedia, itu terlalu mahal untuk sebagian besar digigit oleh anjing yang terinfeksi.",safe
paraphrase: tingkat kortisol dalam air liur anak -anak penitipan anak tertinggi dan naik paling tajam pada mereka yang dinilai oleh personel pusat penitipan anak menjadi yang paling pemalu.,tingkat kortisol dalam air liur anak-anak penitipan anak adalah yang tertinggi dan naik paling tajam pada mereka yang dikelola oleh pusat penitipan anak sebagai yang paling pemalu.,balanced
"paraphrase: tapi dia tidak mengatakan apakah dia akan menyatakan anggaran dua tahun 117,4 miliar untuk 2004-05.",dia bilang dia belum tahu apakah dia akan mensertifikasi anggaran.,creative
"paraphrase: sementara itu, petugas penegak hukum di palm beach county, florida, di mana limbaugh memiliki rumah besar 24 juta, mengatakan penggunaan narkoba sedang diselidiki.","sumber penegakan hukum di palm beach county, di mana limbaugh memiliki mansion tepi laut senilai 24 juta, mengatakan pekan lalu bahwa penggunaan narkoba limbaugh masih sedang diselidiki.",creative
"paraphrase: analisis statistik diterbitkan selasa dalam sirkulasi, sebuah jurnal asosiasi jantung amerika (berita - situs web).",temuan mereka diterbitkan pada hari senin yang beredar: jurnal american heart association.,creative
"paraphrase: massachusetts adalah salah satu dari 12 negara bagian yang tidak memiliki hukuman mati, setelah menghapuskan hukuman mati pada tahun 1984.","massachusetts adalah salah satu dari 12 negara bagian tanpa hukuman mati, setelah menghapusnya pada tahun 1984.",balanced
"paraphrase: tiga puluh delapan persen pasien yang disurvei di lima klinik perkotaan percaya bahwa mitos bahwa kanker menyebar ketika terpapar udara selama operasi, menurut jajak pendapat yang akan diterbitkan selasa.","tiga puluh delapan persen pasien kanker di lima klinik perkotaan percaya bahwa mitos bahwa penyakit ini menyebar ketika terpapar udara selama operasi, menurut sebuah survei.",balanced
