original_text,paraphrase_text,category,similarity_score,original_quality,paraphrase_quality,original_token_count,paraphrase_token_count,word_changes_count,substitutions_count,additions_count,deletions_count,is_valid,source
"uskup ketua gereja episkopal, frank t. griswold iii, menolak, melalui juru bicara, untuk mengomentari pengembangan hari sabtu.","uskup ketua gereja episkopal, frank griswold, menolak berkomentar tentang perkembangan hari sabtu.",creative,0.5,"{'quality_score': 100, 'issues': [], 'word_count': 17, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 12, 'unique_word_ratio': 1.0}",32,23,3,1,0,2,True,paraphrase_detection
"juga pada risiko yang meningkat adalah mereka yang sistem kekebalan tubuh ditekan oleh obat -obatan atau penyakit seperti kanker, diabetes dan aids.",juga berisiko lebih tinggi adalah mereka yang mengalami sistem kekebalan yang ditekan karena penyakit atau obat -obatan.,creative,0.4482758620689655,"{'quality_score': 100, 'issues': [], 'word_count': 22, 'unique_word_ratio': 0.9545454545454546}","{'quality_score': 100, 'issues': [], 'word_count': 17, 'unique_word_ratio': 0.9411764705882353}",27,20,5,3,1,1,True,paraphrase_detection
sekitar 120 juri potensial diminta untuk mengisi kuesioner yang panjang.,para juri dibawa ke ruang sidang dalam kelompok 40 dan diminta untuk mengisi kuesioner.,creative,0.3,"{'quality_score': 100, 'issues': [], 'word_count': 10, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 14, 'unique_word_ratio': 1.0}",14,18,3,2,0,1,True,paraphrase_detection
"inilah yang dikatakan dr. dean: ""saya masih ingin menjadi kandidat untuk orang -orang dengan bendera konfederasi di truk pickup mereka.","dia mengatakan kepada the register: ""saya masih ingin menjadi kandidat untuk orang -orang dengan bendera konfederasi di truk pickup mereka.""",balanced,0.6428571428571429,"{'quality_score': 100, 'issues': [], 'word_count': 20, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 20, 'unique_word_ratio': 1.0}",29,29,2,1,1,0,True,paraphrase_detection
"risiko itu, digambarkan sebagai minor, tetap ""kekhawatiran utama untuk masa mendatang,"" pernyataan yang dirilis setelah pertemuan fed mengatakan.","""risiko inflasi menjadi rendah yang tidak diinginkan tetap menjadi perhatian utama untuk masa mendatang,"" kata komite pasar terbuka federal yang menetapkan kebijakan.",creative,0.29411764705882354,"{'quality_score': 100, 'issues': [], 'word_count': 18, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 22, 'unique_word_ratio': 0.9090909090909091}",29,28,5,4,1,0,True,paraphrase_detection
"""setelah apa yang terjadi di sini . itu norak dan tidak patriotik,"" kata joann marquis, mengunjungi situs itu bersama suaminya dari salem, mass.","""ini jahat,"" kata joann marquis, mengunjungi suaminya dari salem, mass. ""setelah apa yang terjadi di sini.",balanced,0.6538461538461539,"{'quality_score': 100, 'issues': [], 'word_count': 23, 'unique_word_ratio': 0.9565217391304348}","{'quality_score': 100, 'issues': [], 'word_count': 16, 'unique_word_ratio': 1.0}",38,31,2,0,1,1,True,paraphrase_detection
"ditekan untuk perincian, tuan warner mengatakan: ""keenam dari mereka sudah mati, kami diberitahu oleh harold dan kelompoknya"".","""mereka berenam sudah mati, kami diberitahu oleh harold dan kelompoknya,"" kata warner.",creative,0.5652173913043478,"{'quality_score': 100, 'issues': [], 'word_count': 17, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 12, 'unique_word_ratio': 1.0}",28,24,5,0,3,2,True,paraphrase_detection
perusahaan riset pasar dell oro group memperkirakan pasar ini akan total 12 miliar pada tahun 2004.,perusahaan riset pasar dell oro group memperkirakan bahwa pasar gigabit ethernet switch akan berjumlah sekitar us 12 miliar pada tahun 2004.,balanced,0.6086956521739131,"{'quality_score': 100, 'issues': [], 'word_count': 16, 'unique_word_ratio': 0.9375}","{'quality_score': 100, 'issues': [], 'word_count': 21, 'unique_word_ratio': 0.9523809523809523}",20,32,3,2,1,0,True,paraphrase_detection
juru bicara gbi john bankhead mengatakan adegan pembunuhan menunjukkan bahwa si pembunuh itu sangat metodis.,"juru bicara investigasi biro georgia john bankhead mengatakan tkp tersebut menunjukkan bahwa pembunuh itu ""sangat metodis.""",creative,0.5454545454545454,"{'quality_score': 100, 'issues': [], 'word_count': 15, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 16, 'unique_word_ratio': 1.0}",22,29,5,2,2,1,True,paraphrase_detection
"""sejak awal, kami tidak ingin melihat ada yang mengambil gaji.","tetapi tuan crosby mengatakan kepada associated press: ""sejak awal, kami tidak ingin melihat ada yang mengambil gaji.",balanced,0.6190476190476191,"{'quality_score': 100, 'issues': [], 'word_count': 10, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 17, 'unique_word_ratio': 1.0}",14,28,1,0,1,0,True,paraphrase_detection
"""sangat disayangkan bahwa senator clinton akan berusaha untuk mempolitisasi calon yang memenuhi syarat seperti gubernur leavitt,"" kata taylor gross, seorang juru bicara gedung putih.","""sangat disayangkan bahwa senator clinton akan berusaha untuk mempolitisasi calon yang memenuhi syarat seperti gubernur leavitt.",balanced,0.6666666666666666,"{'quality_score': 100, 'issues': [], 'word_count': 24, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 16, 'unique_word_ratio': 1.0}",41,26,1,0,0,1,True,paraphrase_detection
lima pria yang tersisa terus ditanyai berdasarkan bagian 17 dari undang -undang terorisme.,tiga pria dan dua wanita yang berada di properti itu ditangkap berdasarkan bagian 41 dari undang -undang terorisme 2000.,creative,0.36,"{'quality_score': 100, 'issues': [], 'word_count': 13, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 19, 'unique_word_ratio': 1.0}",17,22,5,3,2,0,True,paraphrase_detection
"ini memiliki margin kesalahan plus atau minus 4,9 persen.",itu memiliki margin kesalahan plus atau minus lima poin persentase.,creative,0.4375,"{'quality_score': 100, 'issues': [], 'word_count': 9, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 10, 'unique_word_ratio': 1.0}",14,14,2,2,0,0,True,paraphrase_detection
"dow jones industrials secara singkat melampaui tanda 9.000 untuk pertama kalinya sejak desember. """,dow jones industrials naik lebih dari 140 poin ke atas tanda 9.000 untuk pertama kalinya sejak desember.,creative,0.5217391304347826,"{'quality_score': 100, 'issues': [], 'word_count': 14, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 17, 'unique_word_ratio': 1.0}",22,25,2,1,0,1,True,paraphrase_detection
banjir yang sama yang menghalangi jalan bandara juga membanjiri depot federal express.,"air yang menghalangi jalan bandara membanjiri beberapa bangunan, termasuk depot federal express.",creative,0.5294117647058824,"{'quality_score': 100, 'issues': [], 'word_count': 12, 'unique_word_ratio': 0.9166666666666666}","{'quality_score': 100, 'issues': [], 'word_count': 12, 'unique_word_ratio': 1.0}",16,17,3,1,1,1,True,paraphrase_detection
penyelidik federal mencari kemungkinan koneksi antara pencurian 1.100 pon bahan kimia peledak dari perusahaan konstruksi di colorado dan california dalam seminggu terakhir.,agen federal mengatakan pada hari jumat bahwa mereka sedang menyelidiki pencurian 1.100 pon bahan kimia ledakan dari perusahaan konstruksi di colorado dan california dalam seminggu terakhir.,creative,0.5294117647058824,"{'quality_score': 100, 'issues': [], 'word_count': 22, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 26, 'unique_word_ratio': 1.0}",33,38,3,3,0,0,True,paraphrase_detection
"""dia melakukan pekerjaan yang buruk di sana,"" kata mr. villalona.","villalona lebih terus terang: ""dia melakukan pekerjaan buruk di sana,"" katanya.",creative,0.5555555555555556,"{'quality_score': 100, 'issues': [], 'word_count': 10, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 11, 'unique_word_ratio': 1.0}",20,20,4,1,1,2,True,paraphrase_detection
"tetapi negara ini berebut untuk mencegahnya menyebar ke pedesaan yang luas di mana sebagian besar 1,3 miliar orang tinggal.","china berebut untuk menghentikan penyakit dari menyebar ke pedesaan, di mana sebagian besar 1,3 miliar orang tinggal.",balanced,0.6153846153846154,"{'quality_score': 100, 'issues': [], 'word_count': 19, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 17, 'unique_word_ratio': 1.0}",23,23,3,3,0,0,True,paraphrase_detection
"chevrolet tahoe 1996 -nya ditemukan ditinggalkan di pantai virginia, va., tempat parkir 25 juni.","kendaraan utilitas sport -nya ditemukan 25 juni, ditinggalkan tanpa plat nomornya di virginia beach, va.",creative,0.4583333333333333,"{'quality_score': 100, 'issues': [], 'word_count': 14, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 15, 'unique_word_ratio': 1.0}",27,25,6,1,3,2,True,paraphrase_detection
"""kami telah mengirim pesan kepada negara bahwa ini adalah louisiana baru,"" katanya kepada pesta kemenangan di new orleans.","""kami telah mengirim pesan baru ke negara - bahwa ini adalah louisiana baru.""",creative,0.5454545454545454,"{'quality_score': 100, 'issues': [], 'word_count': 18, 'unique_word_ratio': 0.9444444444444444}","{'quality_score': 100, 'issues': [], 'word_count': 13, 'unique_word_ratio': 1.0}",28,20,4,2,1,1,True,paraphrase_detection
"mereka termasuk ask jeeves inc., global crossing, aether systems, clarent, copper mountain networks dan va linux, sekarang perangkat lunak va.","mereka termasuk penyeberangan global, teknologi akamai, ask jeeves, copper mountain networks, etoys dan va linux.",creative,0.52,"{'quality_score': 100, 'issues': [], 'word_count': 20, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 15, 'unique_word_ratio': 1.0}",50,38,4,0,2,2,True,paraphrase_detection
"dotson, 21, ditangkap dan didakwa pada 21 juli setelah dilaporkan memberi tahu pihak berwenang bahwa dia menembak dennehy setelah dennehy mencoba menembaknya.","dotson ditangkap 21 juli setelah memberi tahu agen fbi bahwa dia menembak dennehy ketika dennehy mencoba menembaknya, menurut surat perintah penangkapan.",creative,0.5357142857142857,"{'quality_score': 100, 'issues': [], 'word_count': 22, 'unique_word_ratio': 0.9090909090909091}","{'quality_score': 100, 'issues': [], 'word_count': 21, 'unique_word_ratio': 0.9523809523809523}",34,33,6,2,1,3,True,paraphrase_detection
para peneliti hanya menemukan rongga kosong dan jaringan parut di mana tumor berada.,"tidak ada tumor yang terdeteksi; sebaliknya, rongga kosong dan jaringan parut ditemukan di tempat mereka.",creative,0.3333333333333333,"{'quality_score': 100, 'issues': [], 'word_count': 13, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 15, 'unique_word_ratio': 1.0}",16,20,3,2,1,0,True,paraphrase_detection
"mark kaiser, wakil presiden pemasaran, dan tim lee, wakil presiden pembelian, diberhentikan minggu lalu.","mark kaiser dan tim lee, masing-masing wakil presiden layanan makanan as untuk pemasaran dan pembelian, telah diberhentikan.",creative,0.5714285714285714,"{'quality_score': 100, 'issues': [], 'word_count': 14, 'unique_word_ratio': 0.8571428571428571}","{'quality_score': 100, 'issues': [], 'word_count': 17, 'unique_word_ratio': 0.9411764705882353}",23,26,5,0,3,2,True,paraphrase_detection
"virus ini menyebar saat pengguna komputer yang tidak curiga membuka lampiran file dalam email yang berisi judul yang akrab seperti ""terima kasih!"" dan ""re: detail"".","sobig.f menyebar saat tidak curiga pengguna komputer membuka lampiran file dalam email yang berisi judul yang akrab seperti ""terima kasih!,"" ""re: detail"" atau ""re: film itu.""",balanced,0.7272727272727273,"{'quality_score': 100, 'issues': [], 'word_count': 25, 'unique_word_ratio': 0.92}","{'quality_score': 100, 'issues': [], 'word_count': 26, 'unique_word_ratio': 0.9230769230769231}",34,42,7,1,4,2,True,paraphrase_detection
"para pemilih di cleveland heights, ohio, diminta untuk memutuskan apakah akan mengizinkan pasangan sesama jenis - dan juga pasangan heteroseksual yang belum menikah - untuk secara resmi mendaftar sebagai mitra domestik.","pemilih di cleveland heights, ohio, menyetujui proposal yang memungkinkan pasangan sesama jenis-dan juga pasangan heteroseksual yang belum menikah-untuk secara resmi mendaftar sebagai mitra domestik.",balanced,0.7272727272727273,"{'quality_score': 100, 'issues': [], 'word_count': 31, 'unique_word_ratio': 0.9032258064516129}","{'quality_score': 100, 'issues': [], 'word_count': 24, 'unique_word_ratio': 0.9166666666666666}",41,38,2,1,0,1,True,paraphrase_detection
para peneliti memperkirakan tambahan 23 kasus demensia per tahun untuk setiap 10.000 wanita dalam terapi.,ini merupakan tambahan 23 kasus demensia per tahun di setiap 10.000 wanita yang dirawat.,creative,0.5,"{'quality_score': 100, 'issues': [], 'word_count': 15, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 14, 'unique_word_ratio': 1.0}",21,20,3,3,0,0,True,paraphrase_detection
"sebelumnya, dia memberi tahu prancis antar-radio, ""saya pikir kita sekarang dapat memenuhi syarat apa yang terjadi sebagai epidemi asli.""","""saya pikir kita sekarang dapat memenuhi syarat apa yang terjadi sebagai epidemi asli,"" kata menteri kesehatan jean-francois mattei di prancis inter radio.",creative,0.59375,"{'quality_score': 100, 'issues': [], 'word_count': 19, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 22, 'unique_word_ratio': 1.0}",30,35,3,0,1,2,True,paraphrase_detection
"presiden vlad imir putin melemparkan bobotnya di belakang partai politik pro-kremlin utama rusia untuk pertama kalinya pekan lalu, menjelang pemilihan parlemen.",presiden vladimir putin melemparkan berat badannya untuk pertama kalinya pada hari sabtu di belakang partai politik pro-kremlin utama rusia menjelang pemilihan parlemen.,balanced,0.6129032258064516,"{'quality_score': 100, 'issues': [], 'word_count': 21, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 22, 'unique_word_ratio': 1.0}",32,34,3,2,0,1,True,paraphrase_detection
dia mengatakan distrik itu telah menunggu panggilan pengadilan dan selalu berencana untuk mematuhinya begitu menerimanya.,mr. caramore mengatakan distrik itu menunggu panggilan pengadilan dan berencana untuk bekerja sama dengan penyelidikan.,creative,0.45454545454545453,"{'quality_score': 100, 'issues': [], 'word_count': 15, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 15, 'unique_word_ratio': 1.0}",20,20,4,2,0,2,True,paraphrase_detection
"bab terakhir dalam trilogi, revolusi matriks, keluar pada bulan november.","film ketiga dan terakhir, ""the matrix revolutions,"" akan dirilis pada bulan november.",creative,0.2857142857142857,"{'quality_score': 100, 'issues': [], 'word_count': 10, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 12, 'unique_word_ratio': 1.0}",16,24,4,3,0,1,True,paraphrase_detection
"saham bp tergelincir 0,8 persen menjadi 433,50 pence ( 6,85) masing -masing dalam perdagangan sore di london stock exchange.","saham bp turun 48 sen menjadi 41,72 jumat dalam perdagangan di new york stock exchange.",creative,0.30303030303030304,"{'quality_score': 100, 'issues': [], 'word_count': 19, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 15, 'unique_word_ratio': 1.0}",36,26,4,3,0,1,True,paraphrase_detection
"persidangan, yang menampilkan 125 saksi, dapat berlanjut hingga awal tahun 2004.","persidangan, yang bisa bertahan hingga awal 2004, diharapkan untuk mendengar yang pertama dari 125 saksi jumat.",creative,0.42857142857142855,"{'quality_score': 100, 'issues': [], 'word_count': 11, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 16, 'unique_word_ratio': 0.9375}",15,20,2,2,0,0,True,paraphrase_detection
"""bagi saya, imbroglio lewinsky tampak seperti skandal ganas lainnya yang diproduksi oleh lawan politik,"" menurut ekstrak yang dirilis kemarin.","""bagi saya, imbroglio lewinsky tampak seperti skandal ganas lainnya yang diproduksi oleh lawan politik,"" tulis nyonya clinton.",balanced,0.7083333333333334,"{'quality_score': 100, 'issues': [], 'word_count': 19, 'unique_word_ratio': 0.9473684210526315}","{'quality_score': 100, 'issues': [], 'word_count': 17, 'unique_word_ratio': 1.0}",31,32,1,1,0,0,True,paraphrase_detection
"dalam perdagangan di new york stock exchange, saham kraft turun 25 sen menjadi ditutup pada 32,30.","saham kraft turun 25 sen menjadi ditutup pada 32,30 kemarin di new york stock exchange.",safe,0.85,"{'quality_score': 100, 'issues': [], 'word_count': 16, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 15, 'unique_word_ratio': 1.0}",27,26,2,0,1,1,True,paraphrase_detection
"secara signifikan, itu tidak menyebutkan peran organisasi teroris jemah islamiyah, yang dituduh berada di belakang serangan itu.","alamat itu tidak menyebutkan peran organisasi teroris jemaah islamiyah, yang berada di balik serangan itu.",balanced,0.6190476190476191,"{'quality_score': 100, 'issues': [], 'word_count': 17, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 15, 'unique_word_ratio': 1.0}",23,19,4,3,0,1,True,paraphrase_detection
korban kematian global mendekati 770 dengan lebih dari 8.300 orang sakit sejak virus sars pertama kali muncul di cina selatan pada bulan november.,korban tewas global adalah 770 dengan lebih dari 8300 orang sakit sejak virus sindrom pernapasan akut parah pertama kali muncul di cina selatan pada bulan november.,balanced,0.625,"{'quality_score': 100, 'issues': [], 'word_count': 23, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 26, 'unique_word_ratio': 1.0}",32,33,4,4,0,0,True,paraphrase_detection
"tetapi tn. peterson menambahkan, ""saya tidak kenal siapa pun di komite konferensi yang berjuang untuk menjauhkannya sepenuhnya.""","tapi peterson menambahkan, saya tidak kenal siapa pun di komite konferensi yang berjuang untuk menjauhkannya sepenuhnya.",safe,0.8095238095238095,"{'quality_score': 100, 'issues': [], 'word_count': 17, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 16, 'unique_word_ratio': 1.0}",28,22,3,1,0,2,True,paraphrase_detection
"seperti yang dibayangkan oleh breaux, pemerintah akan membantu membayar 3.450 pertama dalam biaya obat resep.",breaux menguraikan rencana selasa yang akan memberikan bantuan senior dengan biaya obat resep 3.450 pertama.,creative,0.4,"{'quality_score': 100, 'issues': [], 'word_count': 15, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 15, 'unique_word_ratio': 1.0}",21,23,4,2,0,2,True,paraphrase_detection
"adrian lamo, 22, mengatakan kepada wartawan bahwa ia berencana untuk menyerah kepada fbi di sacramento jumat, tetapi ia kemudian memiliki pikiran kedua.","lamo mengatakan kepada wartawan bahwa dia akan menyerah kepada fbi di tangga gedung pengadilan federal di sacramento pada hari jumat, tetapi dia tidak muncul.",creative,0.40625,"{'quality_score': 100, 'issues': [], 'word_count': 22, 'unique_word_ratio': 0.9090909090909091}","{'quality_score': 100, 'issues': [], 'word_count': 24, 'unique_word_ratio': 0.875}",34,35,6,2,2,2,True,paraphrase_detection
"""saya pikir itu terjadi dengan sangat cepat,"" kata penyelidik pembunuhan departemen kepolisian houston phil yochum tentang kejahatan itu.","""saya pikir itu terjadi dengan sangat cepat,"" kata penyelidik phil yochum dari divisi pembunuhan departemen kepolisian houston.",safe,0.8181818181818182,"{'quality_score': 100, 'issues': [], 'word_count': 18, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 17, 'unique_word_ratio': 1.0}",29,28,2,0,1,1,True,paraphrase_detection
keuskupan mencapai pemukiman pada tahun 2001 yang melibatkan lima imam dan 26 penggugat dengan jumlah yang dirahasiakan.,"pada tahun 2001, keuskupan mencapai penyelesaian 15 juta yang melibatkan lima imam dan 26 penggugat.",balanced,0.6190476190476191,"{'quality_score': 100, 'issues': [], 'word_count': 17, 'unique_word_ratio': 0.9411764705882353}","{'quality_score': 100, 'issues': [], 'word_count': 15, 'unique_word_ratio': 1.0}",20,18,3,0,1,2,True,paraphrase_detection
suaminya yang berusia 92 tahun sekarang sangat lemah oleh penyakit alzheimer.,mantan presiden berusia 92 tahun itu menderita penyakit alzheimer.,creative,0.375,"{'quality_score': 100, 'issues': [], 'word_count': 11, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 9, 'unique_word_ratio': 1.0}",16,14,2,2,0,0,True,paraphrase_detection
"kerr, yang memenangkan tiga kejuaraan dengan chicago bulls di tahun 90 -an dan satu dengan spurs pada tahun 1999, selesai dengan 12 poin, 3 assist dan 2 rebound.","kerr, yang memenangkan tiga gelar nba dengan chicago dan satu dengan spurs pada tahun 1999, selesai dengan 12 poin, tiga assist dan dua rebound.",balanced,0.6333333333333333,"{'quality_score': 100, 'issues': [], 'word_count': 28, 'unique_word_ratio': 0.8571428571428571}","{'quality_score': 100, 'issues': [], 'word_count': 24, 'unique_word_ratio': 0.8333333333333334}",39,34,4,3,0,1,True,paraphrase_detection
"peterson, 27, hamil delapan bulan ketika dia menghilang pada hari -hari sebelum natal.",peterson hampir hamil delapan bulan ketika dia dilaporkan hilang.,creative,0.3888888888888889,"{'quality_score': 100, 'issues': [], 'word_count': 13, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 9, 'unique_word_ratio': 1.0}",21,14,2,2,0,0,True,paraphrase_detection
para peneliti di imperial college london sebelumnya menunjukkan bahwa hormon dapat menekan nafsu makan orang -orang ramping.,"bloom dan rekan-rekannya sebelumnya menunjukkan bahwa hormon, pyy3-36, dapat mengekang nafsu makan orang-orang ramping.",creative,0.4230769230769231,"{'quality_score': 100, 'issues': [], 'word_count': 17, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 14, 'unique_word_ratio': 1.0}",22,30,3,2,1,0,True,paraphrase_detection
dewan sedang menyelidiki apakah kekurangan dana dalam program antar -jemput mengganggu keselamatan.,dewan sedang menyelidiki apakah keamanan yang dikompromikan ini pada pesawat ulang -alik.,creative,0.2727272727272727,"{'quality_score': 100, 'issues': [], 'word_count': 12, 'unique_word_ratio': 1.0}","{'quality_score': 100, 'issues': [], 'word_count': 12, 'unique_word_ratio': 1.0}",16,19,2,2,0,0,True,paraphrase_detection
"namun, mauresmo memiliki kepercayaan diri karena telah mengalahkan serena untuk pertama kalinya dan juga didukung oleh kekalahan kekalahan venus williams pada hari minggu untuk vera zvonareva.",dia memiliki kepercayaan diri karena telah mengalahkannya untuk pertama kalinya dan dia didukung oleh kekalahan kekalahan venus williams dua hari yang lalu.,creative,0.5161290322580645,"{'quality_score': 100, 'issues': [], 'word_count': 26, 'unique_word_ratio': 0.9230769230769231}","{'quality_score': 100, 'issues': [], 'word_count': 22, 'unique_word_ratio': 0.9090909090909091}",42,31,5,5,0,0,True,paraphrase_detection
