original,paraphrase,category,source,similarity_score
"Tetapi peringatan dan jam tangan badai tropis diposting hari ini untuk Haiti, bagian barat Republik Dominika, Bahama tenggara dan Kepulauan Turki dan Caicos.","Peringatan badai tropis ada pada hari Kamis untuk Jamaika dan Haiti dan mengawasi Republik Dominika barat, Bahama tenggara dan Kepulauan Turki dan Caicos.",balanced,paraphrase_detection,0.6071428571428571
Seorang hakim federal di Fort Lauderdale memerintahkannya ditahan tanpa jaminan.,"Zuccarini diperintahkan diadakan tanpa jaminan Rabu oleh seorang hakim federal di Fort Lauderdale, Fla.",creative,paraphrase_detection,0.5
"Enam bulan lalu, IMF dan Argentina mencapai kesepakatan rollover utang $ 6,8 miliar minimum yang berakhir pada bulan Agustus.","Namun enam bulan lalu, kedua belah pihak berhasil mencapai kesepakatan rollover utang $ 6,8 miliar, yang berakhir pada bulan Agustus.",balanced,paraphrase_detection,0.6538461538461539
"Anak -anak yang terhambat cenderung malu -malu dengan orang baru, benda, dan situasi, sementara anak -anak tanpa hambatan secara spontan mendekati mereka.","Sederhananya, destat hati yang pemalu cenderung lebih malu -malu dengan orang baru dan situasi.",creative,paraphrase_detection,0.4230769230769231
"Saya ingin membawa orang -orang paling cantik ke gedung terindah, katanya hari Minggu di dalam Concourse Grand Central.","""Saya ingin membawa orang -orang paling cantik ke gedung terindah,"" kata Tunick pada hari Minggu.",creative,paraphrase_detection,0.5833333333333334
"Singapura sudah menjadi mitra dagang terbesar ke-12 Amerika Serikat, dengan perdagangan dua arah dengan total lebih dari $ 34 miliar.","Meskipun negara-kota kecil, Singapura adalah mitra dagang terbesar ke-12 Amerika Serikat, dengan volume perdagangan $ 33,4 miliar tahun lalu.",creative,paraphrase_detection,0.45454545454545453
AFL-CIO sedang menunggu hingga Oktober untuk memutuskan apakah itu akan mendukung seorang kandidat.,AFL-CIO mengumumkan pada hari Rabu bahwa mereka akan memutuskan pada bulan Oktober apakah akan mendukung seorang kandidat sebelum pemilihan pendahuluan.,creative,paraphrase_detection,0.4230769230769231
"Keuntungan terbesar terlihat dalam harga, pesanan baru, inventaris dan ekspor.","Sub-indeks mengukur harga, pesanan baru, inventaris dan ekspor meningkat.",creative,paraphrase_detection,0.47058823529411764
"Perdagangan di Loral dihentikan kemarin; Saham ditutup pada hari Senin di $ 3,01.","New York Stock Exchange menangguhkan perdagangan kemarin di Loral, yang ditutup pada $ 3,01 Jumat.",creative,paraphrase_detection,0.4782608695652174
"Dia berencana untuk makan malam dengan pasukan di markas militer AS Kosovo, Camp Bondsteel.","Setelah itu, ia berencana untuk makan malam di Camp Bondsteel dengan pasukan A.S. ditempatkan di sana.",creative,paraphrase_detection,0.4782608695652174
Pengecer J.C. Penney Co. Inc. (JCP) dan Walgreen Co. (WAG) memulai pada hari Senin.,Pengecer J.C. Penney Co. Inc. JCP.N dan Walgreen Co. Wag.n Kick off pada hari Senin.,balanced,paraphrase_detection,0.7
Jaksa mengajukan mosi yang memberi tahu Lee bahwa mereka berniat mencari hukuman mati.,Dia menambahkan bahwa jaksa penuntut akan mencari hukuman mati.,creative,paraphrase_detection,0.3333333333333333
"Tahun lalu pengadilan menguatkan program voucher sekolah Cleveland, memutuskan 5-4 bahwa voucher bersifat konstitusional jika mereka memberikan orang tua pilihan sekolah agama dan sekuler.","Tahun lalu, pengadilan memutuskan 5-4 dalam kasus Ohio bahwa voucher pemerintah bersifat konstitusional jika mereka memberi orang tua pilihan di antara berbagai sekolah agama dan sekuler.",balanced,paraphrase_detection,0.6470588235294118
"Sorkin, yang menghadapi tuduhan konspirasi untuk menghalangi keadilan dan berbohong kepada dewan juri, harus diadili secara terpisah.",Sorkin harus diadili secara terpisah atas tuduhan konspirasi dan berbohong kepada dewan juri.,balanced,paraphrase_detection,0.65
"Pasar chip AS diperkirakan akan menurun 2,1 persen tahun ini, kemudian tumbuh 15,7 persen pada tahun 2004.","Pasar Amerika akan menurun 2,1 persen menjadi $ 30,6 miliar pada tahun 2003, dan kemudian tumbuh 15,7 persen menjadi $ 35,4 miliar pada tahun 2004.",creative,paraphrase_detection,0.5172413793103449
"Kelompok ini akan dipimpin oleh pejabat Departemen Luar Negeri John S. Wolf, yang telah bertugas di Australia, Vietnam, Yunani dan Pakistan.","Kelompok ini akan dipimpin oleh John S. Wolf, asisten sekretaris negara yang telah bertugas di Australia, Vietnam, Yunani dan Pakistan.",balanced,paraphrase_detection,0.7307692307692307
Perusahaan telah mengatakan berencana untuk menyatakan kembali pendapatannya untuk tahun 2000 hingga 2002.,"Perusahaan telah mengumumkan pada bulan Januari bahwa mereka harus menyatakan kembali pendapatan untuk tahun 2002, 2001 dan mungkin 2000.",creative,paraphrase_detection,0.36
Hasil dari pembuat minuman ringan No. 2 Pepsico Inc. Pep.n kemungkinan besar menjadi sorotan.,Hasil dari pembuat minuman ringan No. 2 AS Pepsico Inc. (NYSE: PEP - News - People) cenderung menjadi sorotan.,creative,paraphrase_detection,0.52
"""Hasilnya adalah paket keseluruhan yang akan memberikan pertumbuhan ekonomi yang signifikan bagi karyawan kami selama empat tahun ke depan.""","""Hasilnya adalah paket keseluruhan yang akan memberikan pertumbuhan ekonomi yang signifikan bagi karyawan kami selama beberapa tahun ke depan,"" katanya.",safe,paraphrase_detection,0.8260869565217391
Wal-Mart mengatakan akan memeriksa semua jutaan pekerja rumah tangga untuk memastikan mereka dipekerjakan secara hukum.,Ia juga mengatakan akan meninjau semua karyawan domestiknya lebih dari 1 juta untuk memastikan mereka memiliki status hukum.,creative,paraphrase_detection,0.27586206896551724
"Lagu -lagunya ditawarkan masing -masing untuk 99 sen, atau $ 9,99 untuk sebuah album.","Perusahaan akan menawarkan lagu untuk 99 sen dan album seharga $ 9,95.",creative,paraphrase_detection,0.42857142857142855
"Namun, pembicaraan itu diremehkan oleh PBL yang mengatakan itu hanya akan fokus pada pembelian yang lebih kecil yang segera menjadi pendapatan dan akresi arus kas.","Pembicaraan, bagaimanapun, telah diremehkan oleh PBL yang mengatakan hanya akan fokus pada pembelian yang lebih kecil yang segera pendapatan dan akret arus kas.",balanced,paraphrase_detection,0.7407407407407407
"Saham Comcast Class A naik 8 sen pada $ 30,50 dalam perdagangan pagi di pasar saham NASDAQ.",Saham naik 48 sen menjadi $ 30 kemarin dalam perdagangan pasar saham NASDAQ.,creative,paraphrase_detection,0.45454545454545453
"Ini terintegrasi dengan Rasional PurifyPlus dan memungkinkan pengembang untuk bekerja dalam versi Java, Visual C# dan Visual .NET yang didukung.","IBM mengatakan produk rasional juga terintegrasi dengan Rasional PurifyPlus, yang memungkinkan pengembang untuk bekerja di Java, Visual C# dan VisualBasic .NET.",balanced,paraphrase_detection,0.6296296296296297
The Washington Post mengatakan pesawat akan menutup shift pertamanya dan bagian dari shift kedua Senin untuk mengakomodasi penampilan presiden.,"Pabrik berencana untuk menutup shift pertamanya dan bagian dari shift kedua Senin untuk mengakomodasi penampilan presiden, kata Crosby.",creative,paraphrase_detection,0.5416666666666666
Beberapa pertanyaan yang diajukan oleh audiens di forum yang serba cepat adalah baru bagi para kandidat.,Beberapa pertanyaan audiens juga baru bagi para kandidat.,creative,paraphrase_detection,0.47058823529411764
"Sementara itu, korban kematian global mendekati 770 dengan lebih dari 8.300 orang sakit sejak virus sindrom pernapasan akut parah pertama kali muncul di Cina selatan pada bulan November.","Korban tewas global dari SARS setidaknya 767, dengan lebih dari 8.300 orang sakit sejak virus pertama kali muncul di Cina selatan pada bulan November.",balanced,paraphrase_detection,0.6285714285714286
"Berlawanan dengan apa yang Anda yakini sebagai manajemen PeopleSoft, Oracle bermaksud untuk sepenuhnya mendukung pelanggan dan produk PeopleSoft selama bertahun -tahun yang akan datang. ""","Ellison mengatakan bahwa bertentangan dengan pertikaian manajemen PeopleSoft, Oracle bermaksud untuk ""sepenuhnya mendukung pelanggan dan produk PeopleSoft"" selama bertahun -tahun yang akan datang.",balanced,paraphrase_detection,0.6774193548387096
"Downtime, yang akan berlangsung pada bulan Mei dan Juni, diperkirakan akan memangkas produksi 60 juta menjadi 70 juta kaki papan.",Downtime diperkirakan akan mengambil 60 juta hingga 70 juta kaki dari sistem Companis.,creative,paraphrase_detection,0.32
"Pada 3 Juli, Troy diperkirakan akan dijatuhi hukuman penjara seumur hidup tanpa pembebasan bersyarat.",Troy menghadapi hukuman penjara seumur hidup tanpa pembebasan bersyarat pada hukumannya 30 Juli.,creative,paraphrase_detection,0.5789473684210527
"University of Michigan merilis proses penerimaan sarjana baru pada hari Kamis, menjatuhkan sistem poin Mahkamah Agung A.S. ditemukan tidak konstitusional pada bulan Juni.",University of Michigan hari ini merilis kebijakan penerimaan baru setelah Mahkamah Agung A.S. jatuh pada bulan Juni seperti yang sebelumnya diakui mahasiswa sarjana.,creative,paraphrase_detection,0.47058823529411764
Prosesor diumumkan di San Jose di Intel Developer Forum.,"Prosesor baru ini diluncurkan di Intel Developer Forum 2003 di San Jose, Calif.",creative,paraphrase_detection,0.5333333333333333
Dikatakan bahwa kerusakan pada sayap menyediakan jalur bagi gas panas untuk menembus baju besi termal kapal selama masuknya kembali naas Columbia.,Dokumen itu mengatakan kerusakan sayap menyediakan jalur untuk gas panas untuk menembus baju besi termal Columbia selama masuknya kembali yang fatal.,creative,paraphrase_detection,0.5925925925925926
"Juga menunjukkan kekuatan box-office _ dan mendapatkan tujuh nominasi Tony _ adalah kebangkitan kuat dari drama keluarga Eugene O'Neill, ""Long Day's Journey Into Night.""","Juga menunjukkan kekuatan box-office-dan mendapatkan tujuh nominasi Tony-adalah kebangkitan kuat drama keluarga Eugene Oneills, Long Days Journey to Night. """,balanced,paraphrase_detection,0.6764705882352942
"Tingkat tertinggi akan mencapai 4,45 persen untuk semua penduduk dengan pendapatan kena pajak di atas $ 500.000.","Untuk penghuni dengan pendapatan di atas $ 500.000, tarif pajak pendapatan akan meningkat menjadi 4,45 persen.",creative,paraphrase_detection,0.6
Tetapi Sekretaris Negara Colin Powell menepis kemungkinan ini pada hari Rabu.,Sekretaris Negara Colin Powell pekan lalu mengesampingkan perjanjian non-agresi.,creative,paraphrase_detection,0.2631578947368421
"Thomas dan Tauzin mengatakan, seperti halnya banyak dokter, bahwa pemerintahan Bush memiliki kekuatan untuk memperbaiki beberapa kekurangan itu.","Seperti banyak dokter, Mr. Thomas dan Mr. Tauzin mengatakan bahwa pemerintahan Bush memiliki kekuatan untuk memperbaiki beberapa kekurangan itu.",safe,paraphrase_detection,0.9047619047619048
"Berdasarkan pengalaman di tempat lain, itu bisa memakan waktu hingga dua tahun sebelum pemilihan rutin diadakan, tambahnya.","Pejabat militer A.S. telah mengatakan itu bisa memakan waktu hingga dua tahun sebelum pemilihan rutin diadakan, berdasarkan pengalaman di tempat lain di dunia.",balanced,paraphrase_detection,0.6923076923076923
"Hasilnya muncul dalam edisi Januari Cancer, sebuah jurnal American Cancer Society, yang diterbitkan secara online hari ini.","Hasilnya muncul dalam jurnal edisi Januari, jurnal American Cancer Society (News - Web Situs), yang diterbitkan secara online Senin.",creative,paraphrase_detection,0.6
"Perawatan bioteknologi pertama untuk asma, penyempitan saluran udara yang mempengaruhi jutaan orang di seluruh dunia, menerima persetujuan dari Food and Drug Administration AS kemarin.","Perawatan bioteknologi pertama untuk asma, penyempitan saluran udara yang mempengaruhi jutaan orang Amerika, menerima persetujuan dari Food and Drug Administration A.S. pada hari Jumat.",balanced,paraphrase_detection,0.65625
"Para delegasi mengatakan mengumpulkan dan mendistribusikan dana telah dipersulit oleh penumpasan AS tentang yayasan amal jihad, rekening bank organisasi terkait teror dan transfer uang.","Pasukan Bin Laden menunjukkan bahwa mengumpulkan dan mendistribusikan dana telah dipersulit oleh penumpasan AS tentang yayasan amal jihad, rekening bank organisasi terkait teror dan transfer uang.",balanced,paraphrase_detection,0.7333333333333333
"Agen FBI menangkap mantan mitra perusahaan akuntansi Big Four Ernst & Young Erny.ul atas tuduhan kriminal untuk menghalangi penyelidikan federal, kata para pejabat AS, Kamis.",Seorang mantan mitra perusahaan akuntansi Ernst & Young kemarin ditangkap oleh agen FBI di AS dengan tuduhan menghalangi penyelidikan federal.,creative,paraphrase_detection,0.4411764705882353
"Penembakan terbaru yang terhubung dengan Spree adalah penembakan 11 November di Hamilton Central Elementary School di Obetz, sekitar 3 km dari jalan bebas hambatan.","Penembakan lain yang terkait dengan Spree terjadi 11 November di Hamilton Central Elementary di Obetz, sekitar dua mil dari jalan bebas hambatan.",balanced,paraphrase_detection,0.6206896551724138
PDC juga hampir pasti akan mengipasi api spekulasi tentang rilis Longhorn.,PDC juga hampir pasti akan menyalakan kembali spekulasi tentang tanggal rilis produk baru Microsoft.,creative,paraphrase_detection,0.5
Penjualan - Sosok yang diawasi dengan cermat sebagai barometer kesehatannya - naik 5 persen alih -alih jatuh seperti yang diprediksi oleh banyak pakar industri.,Ini juga mengungkapkan bahwa penjualan - angka yang diawasi oleh analis sebagai barometer kesehatannya - secara signifikan lebih tinggi dari yang diperkirakan oleh para pakar industri.,creative,paraphrase_detection,0.3142857142857143
"NEC melempar perangkat lunak perlengkapan dan manajemen nirkabelnya ke berbagai industri, termasuk perawatan kesehatan dan keramahtamahan.","NEC meluncurkan perangkat lunak dan perangkat lunak manajemen nirkabel ke berbagai industri, termasuk perawatan kesehatan dan keramahtamahan, kata seorang juru bicara perusahaan.",creative,paraphrase_detection,0.5833333333333334
"Elena Slough, yang dianggap sebagai orang tertua negara dan orang tertua ketiga di dunia, meninggal pada Minggu pagi.","Elena Slough, yang dianggap sebagai orang tertua di AS dan orang tertua ketiga di dunia, telah meninggal.",balanced,paraphrase_detection,0.7
"""Kami menyatakan perang terhadap pelecehan seksual dan kekerasan seksual.","""Kami telah menyatakan perang terhadap kekerasan seksual dan pelecehan seksual,"" kata Rosa.",balanced,paraphrase_detection,0.7142857142857143
"El Watan, sebuah surat kabar Aljazair, melaporkan bahwa para penculik itu dengan keras menolak serangan Angkatan Darat pagi ini, menembakkan senapan Kalashnikov.","El Watan, sebuah surat kabar Aljazair, melaporkan bahwa para penculik melakukan perlawanan sengit selama serangan Angkatan Darat, menembakkan senapan Kalashnikov.",balanced,paraphrase_detection,0.6428571428571429
"Saham Hartford naik $ 2,88 menjadi $ 46,50 di New York Stock Exchange Composite Trading.","Saham Hartford naik $ 2,28, atau 5,2 persen, menjadi $ 45,90 dalam perdagangan tengah hari.",creative,paraphrase_detection,0.2857142857142857
"Tokyo Electric Power Co., perusahaan listrik terbesar di Asia, memenangkan persetujuan untuk memulai kembali yang pertama dari 17 reaktor nuklir yang ditutup setelah ia mengakui memalsukan laporan inspeksi.","Tokyo Electric Power Co., perusahaan listrik terbesar di Asia, memulai kembali yang pertama dari 17 reaktor nuklir yang ditutup setelah mengakuinya memalsukan laporan inspeksi.",balanced,paraphrase_detection,0.8
"Biaya kuliah di perguruan tinggi swasta empat tahun rata-rata $ 19.710 tahun ini, naik 6 persen dari tahun 2002.","Untuk tahun akademik saat ini, biaya kuliah di perguruan tinggi negeri rata -rata $ 4.694, naik hampir $ 600 dari tahun sebelumnya.",creative,paraphrase_detection,0.4666666666666667
"Satu -satunya Republikan yang diumumkan untuk menggantikan Davis adalah Rep. Darrell Issa dari Vista, yang telah menghabiskan $ 1,71 juta dari uangnya sendiri untuk memaksa penarikan kembali.","Sejauh ini satu -satunya kandidat partai besar yang dinyatakan adalah Rep. Darrell Issa, seorang Republikan yang telah menghabiskan $ 1,5 juta dari uangnya sendiri untuk mendanai penarikan kembali.",creative,paraphrase_detection,0.5945945945945946
"Dia mengatakan bahwa dengan rencana perdamaian yang didukung AS, atau peta jalan, ""dalam keadaan koma,"" serangan itu dapat dengan mudah memperluas konflik melalui wilayah tersebut.","Mr Jouejati mengatakan bahwa dengan peta jalan yang didukung AS ""dalam koma"" serangan itu dapat dengan mudah melebar di wilayah tersebut.",creative,paraphrase_detection,0.5806451612903226
"Serangan yang berhasil dapat diluncurkan dalam segala jenis dokumen yang mendukung VBA, termasuk Microsoft Word, Excel atau PowerPoint.","Tetapi ini bisa terjadi dengan format dokumen apa pun yang mendukung VBA, termasuk Word, Excel atau PowerPoint.",creative,paraphrase_detection,0.4074074074074074
"Pejabat di Brandeis mengatakan ini adalah waktu yang ""sangat memilukan"" untuk kampus.","""Ini adalah waktu yang sangat memilukan bagi seluruh komunitas Universitas Brandeis.",creative,paraphrase_detection,0.5
Kurang dari selusin agen FBI dikirim untuk mengamankan dan menganalisis bukti.,Kurang dari selusin agen FBI akan dikirim ke Irak untuk mengamankan dan menganalisis bukti pemboman.,balanced,paraphrase_detection,0.75
Mereka yang hanya menjalani operasi rata -rata 46 bulan.,"Bagi mereka yang menjalani operasi sendiri, kelangsungan hidup rata -rata adalah 41 bulan.",creative,paraphrase_detection,0.47058823529411764
Malam ini seorang juru bicara Kementerian Luar Negeri Rusia mengatakan kementerian dapat mengeluarkan pernyataan pada hari Kamis yang mengklarifikasi posisi Rusia tentang kerja sama dengan upaya energi nuklir Iran.,Malam ini seorang juru bicara Kementerian Luar Negeri Rusia mengatakan akan mengeluarkan pernyataan pada hari Kamis yang mengklarifikasi posisi Rusia tentang membantu upaya energi nuklir Iran.,balanced,paraphrase_detection,0.8
"Sehari sebelumnya, sebuah komite yang ditunjuk oleh Presiden Reformis Mohammad Khatami menyerukan penyelidikan yudisial independen atas kematian Kazemi.","Sehari sebelumnya, sebuah komite yang ditunjuk oleh Presiden Mohammad Khatami telah menyerukan penyelidikan independen atas kematian jurnalis foto berusia 54 tahun itu.",balanced,paraphrase_detection,0.6296296296296297
"Suite ini dilengkapi dengan pengolah kata, spreadsheet, perangkat lunak presentasi, dan komponen lainnya, sambil melanjutkan tradisi menggunakan format file berbasis XML.","Suite ini mencakup pengolah kata, spreadsheet, aplikasi presentasi (analog dengan powerpoint), dan komponen lainnya - semuanya dibangun di sekitar format file XML.",creative,paraphrase_detection,0.4411764705882353
"Di hilir di Gunung Vernon, Sungai Skagit diperkirakan akan melengkung di 36 kaki - 8 kaki di atas panggung banjir - malam ini, kata Burke.","Skagit itu diperkirakan akan lambang pada malam hari di 38 kaki di Gunung Vernon, 10 kaki di atas tahap banjir, kata Dinas Cuaca Nasional.",creative,paraphrase_detection,0.40625
Dokter yang melanggar larangan itu akan dikenakan denda dan hingga dua tahun penjara.,"Dokter yang melakukan prosedur akan menghadapi dua tahun penjara, di bawah RUU itu.",creative,paraphrase_detection,0.38095238095238093
"Sebagai contoh, kata Anhalt, anak-anak biasanya memperlakukan botol soda 20 ons sebagai satu porsi, meskipun sebenarnya mengandung 2 ½ 8 ons porsi.","Anhalt mengatakan anak-anak biasanya memperlakukan botol soda 20 ons sebagai satu porsi, sementara itu sebenarnya mengandung 2,5.",balanced,paraphrase_detection,0.6538461538461539
"Pendapat Kline ditangani secara khusus dengan penyedia aborsi, tetapi juga akan berlaku untuk dokter yang menyediakan layanan lain, seperti perawatan prenatal, kepada anak hamil di bawah 16 tahun.","Pendapat Kline ditangani secara khusus dengan penyedia aborsi, tetapi kemudian kantornya mengatakan itu juga akan berlaku untuk dokter yang menyediakan layanan seperti perawatan prenatal kepada gadis -gadis hamil di bawah 16 tahun.",balanced,paraphrase_detection,0.7777777777777778
"Badan Energi Atom Internasional PBB meminta informasi tentang tuduhan setelah dokumen itu diterbitkan, tetapi Inggris tidak memberikan, kata para pejabat AS.","Badan Energi Atom Internasional meminta informasi tentang pernyataan uranium setelah dokumen London diterbitkan, tetapi Inggris tidak memberikan, kata para pejabat AS.",balanced,paraphrase_detection,0.7692307692307693
"Enam belas hari kemudian, ketika udara super panas dari masuknya kembali ke sayap yang rusak, ""tidak ada kemungkinan untuk kelangsungan hidup kru,"" kata dewan itu.","Enam belas hari kemudian, ketika udara super panas dari masuknya kembali ke sayap yang rusak, ""tidak ada kemungkinan untuk kelangsungan hidup kru,"" kata dewan itu.",safe,paraphrase_detection,1.0
"""Dunia bebas dan mereka yang mencintai kebebasan dan perdamaian harus berurusan dengan keras dengan Hamas dan para pembunuh,"" katanya kepada wartawan ketika ia muncul dari kebaktian gereja.","""Jelas bahwa dunia bebas, mereka yang mencintai kebebasan dan kedamaian, harus berurusan dengan keras dengan Hamas dan para pembunuh,"" katanya.",creative,paraphrase_detection,0.6
"Powell membalas: ""Dia menuduh presiden tindakan menggelikan,"" katanya.","Jika demikian, kata Powell, dia juga memanggil Presiden dengan menggelikan.",creative,paraphrase_detection,0.3333333333333333
Keputusan untuk mengeluarkan panduan baru telah didorong oleh intelijen yang disahkan ke Inggris oleh FBI dalam briefing rahasia pada akhir Juli.,Keputusan Scotland Yard untuk mengeluarkan panduan baru telah didorong oleh intelijen baru yang diserahkan ke Inggris oleh FBI pada akhir Juli.,balanced,paraphrase_detection,0.7083333333333334
"Memo tentang melindungi penjualan Windows dan perangkat lunak desktop lainnya yang disebutkan Linux, pesaing perangkat lunak yang masih kecil namun muncul yang tidak dimiliki oleh perusahaan tertentu.","Memo tersebut secara khusus menyebutkan Linux, pesaing perangkat lunak yang masih kecil namun muncul yang tidak dimiliki oleh perusahaan tertentu.",creative,paraphrase_detection,0.5862068965517241
"Tidak dapat menemukan rumah untuknya, seorang hakim mengatakan kepada otoritas kesehatan mental bahwa mereka perlu menemukan perumahan dan perawatan yang diawasi untuk Devries di suatu tempat di California.",Hakim telah mengatakan kepada Departemen Kesehatan Mental Negara Bagian untuk menemukan perumahan dan perawatan yang diawasi untuk Devries di suatu tempat di California.,creative,paraphrase_detection,0.5625
"Juga Selasa, Amerika Serikat juga merilis lebih banyak tahanan perang Irak, dan para pejabat mengumumkan bahwa semua akan segera dilepaskan.","Sementara itu di Irak selatan, Amerika Serikat membebaskan lebih banyak tahanan perang Irak, dan para pejabat mengumumkan bahwa semua akan segera dilepaskan.",balanced,paraphrase_detection,0.6923076923076923
"Keputusan itu datang setahun setelah Whipple mengakhiri pengawasan federal atas keseimbangan rasial, fasilitas, anggaran, dan bus distrik.","Keputusan itu datang setahun setelah Whipple mengakhiri pengawasan federal dari bus sekolah serta keseimbangan rasial, fasilitas, dan anggaran rasial distrik.",safe,paraphrase_detection,0.8181818181818182
"""Kami tidak ada hubungannya dengan keputusan personel internal @saham,"" kata juru bicara Microsoft Sean Sundwell.","""Microsoft sama sekali tidak ada hubungannya dengan keputusan personel internal Atstake,"" kata Sundwall.",creative,paraphrase_detection,0.5217391304347826
"Jaksa penuntut mengatakan tidak ada pertanyaan Waagner ada di belakang surat -surat itu, yang dikirim pada saat yang sama dari serangan antraks.","Jaksa penuntut mengatakan tidak ada pertanyaan Waagner ada di belakang surat -surat itu, yang dikirim pada saat yang sama bahwa serangan antraks asli membunuh orang pada tahun 2001.",balanced,paraphrase_detection,0.75
"Rencananya akan menelan biaya lebih dari $ 200 miliar per tahun, yang akan dibayar Gephardt dengan mencabut pemotongan pajak Bush.",Rencananya akan menelan biaya lebih dari $ 200 miliar per tahun dan dibayar dengan mencabut pemotongan pajak Bush.,safe,paraphrase_detection,0.8181818181818182
Ada kekhawatiran bahwa pemain berusia 35 tahun itu tidak akan dapat hamil setelah menderita dua kehamilan ektopik dan kanker rahim.,Ada kekhawatiran bahwa Heather tidak akan pernah memiliki anak setelah menderita dua kehamilan ektopik dan kanker rahim.,creative,paraphrase_detection,0.56
"Jaksa penuntut mengatakan paracha, jika terbukti bersalah, bisa menghadapi setidaknya 17 tahun penjara.",Paracha menghadapi setidaknya 17 tahun penjara jika terbukti bersalah.,balanced,paraphrase_detection,0.6666666666666666
"Lebih dari setengah lagu dibeli sebagai album, kata Apple.",Apple mencatat bahwa setengah lagu dibeli sebagai bagian dari album.,creative,paraphrase_detection,0.5714285714285714
"""Kesepakatan ini masuk akal bagi kedua perusahaan,"" kata Halla dalam pernyataan yang disiapkan.","Brian Halla, CEO Natsemi, mengklaim kesepakatan itu masuk akal bagi kedua perusahaan.",creative,paraphrase_detection,0.42857142857142855
"Penyelundup dalam sebuah van mengejar pickup dan SUV yang membawa penyelundup lain dan imigran ilegal, kata Sheriff Kabupaten Pinal Roger Vanderpool.","Orang -orang dalam sebuah van menembaki pickup dan SUV yang diyakini mengangkut imigran ilegal, kata Sheriff Kabupaten Pinal Roger Vanderpool.",balanced,paraphrase_detection,0.6538461538461539
"Tyco kemudian mengatakan pinjaman itu belum dimaafkan, dan Swartz melunasi secara penuh, dengan bunga, menurut pengacaranya, Charles Stillman.","Tyco mengatakan pinjaman itu tidak dimaafkan, tetapi Swartz sepenuhnya melunasi dengan bunga, menurut pengacaranya, Charles Stillman.",balanced,paraphrase_detection,0.6521739130434783
"Sementara Bolton rupanya jatuh dan diimobilisasi, Selenski menggunakan kasur untuk skala pagar 10 kaki, pagar kawat pisau cukur, kata Fischi.","Setelah narapidana lainnya jatuh, Selenski menggunakan kasur untuk skala pagar 10 kaki, pagar kawat pisau, kata Fischi.",balanced,paraphrase_detection,0.625
"Ms. Haque, sementara itu, berada di ponsel pirusnya dengan wajah -wajah tersenyum yang mengatur prom.","Fatima, sementara itu, ada di ponsel pirusnya yang mengatur prom.",creative,paraphrase_detection,0.5263157894736842
